번호,운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,문의처,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
630,전라남도 영광군청,영광군인재육성기금(복지특기자),지자체,장학금,특기자, - 영광군청 평생교육담당 061) 350 - 4704,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 직전학년 중 체육, 문예 분야의 도단위 및 전국대회 3위 이상 입상한 자 * 체육분야는 국가대표로 선발된 자 포함"," - 국민기초생활수급자, 차상위계층 - 재산세(주택.토지.건물포함) 납부(부과)액 30,000원이하 : 2018년도분, 부 모 각각 발급 포함 - 건강 장기요양보험료 월평균 납부(부과)액 50,000원이하 : 2018년도분, 부 모 각각 발급 포함"," - 3,000,000원"," - 고등교육법 제2조 중 국내의 대학, 산업대학, 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생", - 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2020-03-31 ~ 2020-05-22 ※코로나19로 인한 개학연기로 인해 선발계획 변경,, - 2명," - 당해학기에 타 장학금 2,000천원(전문대 1,500천원)이상 수혜자 - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 -가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자"," - 읍,면장의 추천"," - 인재육성기금 지원신청서 (공통) - 읍,면장 또는 학교장 추천서 - 주민등록 등본 (거주기간 확인) - 직전학년 성적증명서 - 2020-1학기 등록금 납입확인서(장학금 내역포함) - 재학(입학)증명서 - 지방세세목별과세증명서 - 국민기초생활수급자 또는 차상위계층확인서 - 건강,장기 요양보험료 납부확인서(전년도 1년분, 부,모 각각발급) *  자세한 사항은 첨부파일 참고"
631,전라남도 영광군청,"원전지역장학(기초수급자,장애인)",지자체,장학금,지역연고,061-350-5824,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 100만원," - 고등교육법 제2조 제1호~제6호에 해당하는 학교 중 교육부에서 인가한 대학(교) 재학생 - 국민기초생활수급자, 차상위계층자, 한부모가족, 등록 장애인"," - 공고일 현재 한빛원전주변지역(백수,홍농,법성)에 본인이나 그 보호자(부 또는 모 등)가 주민등록을 두고 1년이상 거주하고 있는 자", - 2019. 07. 24 ~2019. 08. 23까지,,," - 국가 등으로부터 등록금, 수업료 등을 전액 지원받는 육사, 해사, 공사, 경찰대 등과 매학기 등록금 총액이 1백만원 이하인 대학생 - 당해 학기에 국가 및 지자체에서 수혜 받은 장학금이 등록금(납부금) 이상인 학생 - 타 장학금을 수혜 받아 남은 등록금이 원전주변지역주민자녀장학금 보다 적은 경우 - 대학원생, 외국소재 대학교 재학생",, - 신청서 및 통장사본 - 개인정보 수집/이용 및 제공·조회 동의서 - 주민등록등본(거주지 확인용) - 가족관계증명서(본인과 보호자 세대분리된 경우 : 타지역거주자 명의 가족관계증명서 제출) - 실거주확인서(마을별 이장님 서명확인) - 재학증명서 - 신청 확인서 
632,전라남도 영광군청,원전지역장학(특기자),지자체,장학금,특기자,061-350-5824,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 100만원," - 고등교육법 제2조 제1호~제6호에 해당하는 학교 중 교육부에서 인가한 대학(교) 재학생 - 2016. 07. 27일 이후 지방자치단체, 교육지원청, 도 단위 이상 이상의 기관에서 주관/협찬하는 대회 3위이내 수상한 예체능 특기자 - 단체운동부는 학교장 추천을 통한 주전선수만 인정"," - 공고일 현재 한빛원전주변지역(백수,홍농,법성)에 본인이나 그 보호자(부 또는 모 등)가 주민등록을 두고 1년이상 거주하고 있는 자"," - 2019. 07. 24 ~2019. 08. 23까지(토요일, 공휴일 제외)",,," - 국가 등으로부터 등록금, 수업료 등을 전액 지원받는 육사, 해사, 공사, 경찰대 등과 매학기 등록금 총액이 1백만원 이하인 대학생 - 당해 학기에 국가 및 지자체에서 수혜 받은 장학금이 등록금(납부금) 이상인 학생 - 타 장학금을 수혜 받아 남은 등록금이 원전주변지역주민자녀장학금 보다 적은 경우 - 대학원생, 외국소재 대학교 재학생",, - 신청서 및 통장사본 - 개인정보 수집/이용 및 제공·조회 동의서 - 주민등록등본(거주지 확인용) - 가족관계증명서(본인과 보호자 세대분리된 경우 : 타지역거주자 명의 가족관계증명서 제출) - 실거주확인서(마을별 이장님 서명확인) - 대회입상증명서 - 재학증명서
633,전라남도 영광군청,원전지역장학(성적우수),지자체,장학금,지역연고,061-350-5824,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 2019년 1학기 평균학점이 2.0이상(C학점)인 대학생 * 대학, 산업대학, 교육대학, 전문대학, 기술대학은 1학기 12학점 이상 이수자 * 사이버대학은 1학기 15학점 이상 이수자",, - 100만원, - 고등교육법 제2조 제1호~제6호에 해당하는 학교 중 교육부에서 인가한 대학(교) 재학생," - 공고일 현재 한빛원전주변지역(백수,홍농,법성)에 본인이나 그 보호자(부 또는 모 등)가 주민등록을 두고 1년이상 거주하고 있는 자"," - 2019. 07. 24 ~2019. 08. 23까지(토,일 공휴일 제외)",,," - 국가 등으로부터 등록금, 수업료 등을 전액 지원받는 육사, 해사, 공사, 경찰대 등과 매학기 등록금 총액이 1백만원 이하인 대학생 - 당해 학기에 국가 및 지자체에서 수혜 받은 장학금이 등록금(납부금) 이상인 학생 - 타 장학금을 수혜 받아 남은 등록금이 원전주변지역주민자녀장학금 보다 적은 경우 - 대학원생, 외국소재 대학교 재학생",, - 신청서 및 통장사본 - 개인정보 수집/이용 및 제공·조회 동의서 - 주민등록등본(거주지 확인용) - 가족관계증명서(본인과 보호자 세대분리된 경우 : 타지역거주자 명의 가족관계증명서 제출) - 실거주확인서(마을별 이장님 서명확인) - 성적증명서
634,경상북도청,중소기업근로자자녀장학생,지자체,장학금,지역연고," - 경북도청 일자리경제노동과 054-880-2742 - 시·군 노동업무 담당부서(경제노동과, 노동복지과, 지역경제과 등) ","4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", * 재학생 : 재적학과 평균등급(평점)이 C 이상인 사람 * 신입생 : 과목별 석차등급에 의한 5등급 이상의 과목이 전체 과목수의 100분의 50이상인 사람이되 특별전형 등 특수한 경우는 위 성적 기준을 준용하여 기금운용심의위원회에서 최종결정, - 월평균 소득이 전년도 도시가구의 가구원수별 가구당 가계지출비 이하인 자 - 산업재해 및 기타사유로 가정생활이 어려운 근로자 * 첨부파일 표 참고," - 연 3,000,000원", - 공고일 현재 중소기업의 소재지 및 근로자의 주민등록상 주소지가 경상북도 내로 되어 있는 근로자(공고일 현재 동일사업장에서 1년이상 재직자)의 자녀- 최근 3년간 기업생산성 향상과 산업평화에 기여한 공로로 도지사 이상의 표창을 수여하거나 그 실적이 있는 근로자 또는 근로자의 자녀, - 공고일 현재 중속기업의 소재지 및 근로자의 주민등록상 주소지가 경상북도내로 되어 있는 근로자 또는 근로자의 자녀, - 2020-04-13 ~ 2020-05-12," - 추천인원 중 지역별 업체수, 근로자수, 학생수 등을 고려하여 기금운용 심의위원회의 심의를 거쳐 선발", - 20명," - 학교, 기업체, 기타 기관 및 단체등으로부터 장학금을 지급받거나 수업료 면제 혜택을 받고 있는 자 (단, 타 장학금 수혜대상자 중 연간200만원 미만자 추천가능) - 경상북도중소기업근로자자녀 장학금 기 수혜자(학생) - 1세대 1자녀 추천 - 추천일 현재 휴학중인 대학생 - 비영리법인 및 단체는 중소기업에 해당하지 않으므로 추천시 유의"," - 시장/군수, 근로자, 경영자단체, 중소기업관련 기관/단체","* 추천권자 - 장학생 추천자 명단  - 장학금 지급대상자 추천서  - 사실조사 확인서 - 장학금 수혜여부 확인서(추천기관장)* 신청인(근로자 및 근로자의 자녀) - 장학금 지급신청서(예금주는 부모명의로) - 학교장 또는 총장 추천서 - 재학증명서(학생) - 재직증명서(근로자) - 근로소득원천징수영수증(가구주 및 가구원) - 지방세 세목별 과세증명서(가구주 및 가구원) - 가족관계 증명서 - 주민등록등본 - 장학금 수혜여부 확인서 (학교장, 기업체) - 개인정보 수집·이용 및 제공·조회 동의서* 접수처 - 시,군 노정업무 담당부서(경제노동과, 창조경제과, 투자유치과 등) - 근로자단체 * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
635,경상북도청,대학생학자금대출이자지원,지자체,학자금,지역연고, - 경상북도 교육정책관실 054)880-4548 - 경북행복콜센터 1522-0120,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",, - 한국장학재단에서 학자금 대출을 받고 대출당시 소득분위 8분위 이하에 해당하는 자 및 다자녀(3명 이상)가구의 대학생(소득분위 무관), - 2014년 1학기 이후 대출금의‘18.1.1 ~ 12. 31까지 발생이자 * 학자금 대출 시 등록금과 생활비 모두 포함,," - 대구, 경북 소재 대학교의 학생으로 대학생 본인 또는 직계존속(부모, (외)조부모)이 신청기준일(2019.08.19) 현재 1년이상 경상북도에 주민등록이 되어있는 자", - 2019. 08. 19 ~ 2019. 09. 27,,, - 휴학생 포함 졸업자 및 대학원생 제외,, - 주민등록표초본(최근5년간 주소변동이력 포함하여 발급 - 가족관계증명서  * 반드시 주민등록번호 뒷번호 7자리는 삭제 후 이미지 파일로 온라인 첨부 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고
636,경상북도 포항시청,저소득한부모가족자녀대학입학금,지자체,장학금,지역연고, - 054-270-6669,4년제(5~6년제포함),대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",, - 한부모 및 조손가족 중 기준 중위소득 52%이하 세대 - 청소년한부모가족 중 기준 중위소득 60%이하 세대 , 1인당 200만원 이내 (실 납부액 지원) , - 2019년 대학교 신입생, - 포항시 연고자, - 2019. 02. 11. (월) ~ 2019. 02. 22. (금)," * 신청자가 예산범위를 넘어 신청할 경우 - 소득인정액(가구원1인당) 낮은 순 지원 - 장학금 또는 학비감면액이 없거나 본인 부담금이 많은 순 - 재학자녀가 많은 순(대학교, 고등학교, 중학교 순)",," - 기초수급자 한부모가족은 제외 - 한국장학재단 장학금, 각 대학장학금 등 수혜대상자",, - 신청서 - 등록금납부 영수증 - 통장사본
637,경상북도 울릉군청,주민소득지원및생활안정기금대부,지자체,학자금,지역연고, * 문의 : 울릉군청 총무과 새마을교육지원담당 - 054)790-6092,"4년제(5~6년제포함),기술대학,원격대학,일반대학원,전문대(2~3년제),전문대학원,제한없음,학점은행제 대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,박사과정,석사2학기이상,석사신입생(1학기),연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," * 융자한도 - 소득지원자금 : 최대 2천만원 - 생활안정자금 : 최대 1천만원 - 대부이율 : 무이자(2년 거치, 2년 반기별 균분상환)  - 연체이율 : 연 5%"," * 소득자금지원으로 자립기반을 구축할 수 있는 가구 * 고소득 - 고부가가치 소득원을 개발, 소득증대를 이룰 수 있는 가구 * 1지역 1명품으로 지정된 품목을 생산하는 가구 * 생계가 곤란한 자 중 자립의욕이 있는 자 - 행상 및 노점 등 이에 준하는 영세 상행위를 위한 자금 - 고등학교 이상에 재학 중인 직계비속에 대한 학자금 ",, - 2020-03-23 ~ 2020-04-10,,," - 본 융자금 기 대부중인 자 제외 - 수탁금융기관 여신규정에 맞지 않는 자 (신용, 담보대출 불가능한 자 ) 제외",," - 대부 신청서 및 동의서 - 주민등록등본 - 가족관계증명서 * 접수장소 : 읍,면사무소 (총무담당) * 자세한 사항은 을릉군청 공지사항 참고"
638,경상북도 울릉군청,울릉군공무원임용장학,지자체,장학금,지역연고, - 054-790-6082,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 고등학교 3년간 평균 내신등급의 석차가 재적학생의 3할 이내인 자,, - 대학교 1~2학년 전 학기별 등록금액의 전액 지원, - 4년제 대학교 관련학과 입학예정자(2018년 3월 이전), - 지역 소재 고등학교 졸업예정자로서 선발공고일 이전부터 부모 또는 본인의 주민등록상 주소지가 울릉군으로 되어 있는 자, - 2018. 01. 15. ~ 2018. 01. 19.,," - 행정 1명, 시설(건축) 1명",,, - 지방공무원 임용후보자 장학생 지원서 - 학교장 추천서 - 성적증명서  - 주민등록등본
639,경상북도 의성군청,다자녀장학금,지자체,장학금,지역연고,,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,,학기별 등록금의 1/2 범위 내 자부담액," - 다자녀 가정의 셋째 이상인 자녀로 교육인적자원부 (광역시 도 교육청 포함)가 인가한 고등학교, 국내 대학교(전문대학 포함)에 재학 중인 자 ",등록금 납부일 기준 부모(편부모의 경우 부 또는 모)와 함께 관내에 주민등록을 두고 거주하는자,2017. 03월 ~ 12월까지(연중수시)(분기별 지급),,70명, ,," - 다자녀 장학금 지원신청서  - 주민등록등본(부모, 지원대상자 주소 확인용) - 가족관계증명서(부모와 주소지를 달리할 경우 지원대상자 기준) - 재학증명서(신입생의 경우 합격증명서)  - 등록금 납입증명서 - 지원대상자 또는 부모명의 예금통장 사본 - 개인정보 수집·이용·제공 동의서*신청장소  :  읍면사무소, 의성군청 총무과 ( 방문제출, 등기우편) 주소 :  경북 의성군 의성읍 군청길 31(의성군청 총무과 평생교육계)"
640,경상북도 예천군청,지방공무원임용후보자장학생,지자체,장학금,지역연고,054-650-6837,"4년제(5~6년제포함),특정대학","대학3학기,대학4학기","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",2학년 1학기까지 성적이 전공학과 학생 전체의 30/100 이내인 자,, - 2학년 2학기 등록금 - 예천군 지방공무원으로 특별임용," - 지방행정과, 건설공간시스템과 2학년 재학중인 자 - 장학금을 지급받은 자는 특별임용 후 4년 동안 예천군에서 지방공무원으로 의무 복무하여야 함",공고 전일(2017.09.05)부터 최종 발표일 까지 본인의 주민등록상 주소지 또는 가족관계등록부상 등록기준지가 예천군내로 되어 있는 자,2017년 11월 08일까지,1차 서류심사2차 면접,총 2명," - 지방공무원법 제31조의 결격사유가 없는 자  - 장학생으로 선발, 특별 임용된 자라 하더라도 성적부진(30/100이하일 때) 및 학칙에 의한 처벌, 근무성적 미흡 시에는 수혜 받은 장학금의 전부 또는 일부를 반납하여야 함",," 가. 지방공무원임용후보장학생 지원서(붙임 <별지 제1호 서식> 사용) 1통  나. 경북도립대학교 총장 추천서(붙임 <별지 제2호 서식> 사용) 1통  다. 성적증명서 1통  라. 주민등록초본(병역사항포함) 1통  마. 가족관계증명서(기본증명서) 1통  바. 자격증 사본 1통  사. 재정보증서(붙임 <별지 제3호 서식> 사용) 1통  아. 재정보증인 인감증명서 각 1통  자. 재정보증인 지방세 세목별 과세증명 각 1통      (1인당 15,000원 이상의 재산세 또는 농지세 납세자)"
641,경상남도 창원시청,근로자자녀장학생,지자체,장학금,지역연고, - 055-225-3293,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학년 전체성적 평균 평점 C 이상 ※ 신입생 제외," - 월평균 소득 7,124,000원 이하 가구"," - 연간 2,000,000원(상, 하반기 2회 균등 분할지급) * 실제 납부한 교육비 이내 지급", - 창원시 소재 중소기업 근로자의 자녀로써 재학중인 대학생, - 공고일 현재 창원시에 주민등록이 되어 있는 자, - 2020-05-07 ~ 2020-05-22,, - 대학생 40명," - 학교, 국가/지방자치단체, 기업체 등으로부터 학비 전액 보조받고 있는 자 - 2020년도 경상남도 근로자 자녀 장학금 전액 수혜자 - 자녀가 재학중이 아닌경우(퇴학,정학,휴학) ", - 재직하고 있는 중소기업의 추천을 받은 자 * 노동조합이 구성된 중소기업 : 노동조합의 대표 또는 중소기업의 대표 * 노동조합이 미 구성된 중소기업 : 중소기업 대표," - 창원시 근로자 자녀 장학생 신청(추천)서 - 장학금 지급대상자 추천서(학교) - 개인(신용)정보 수집·이용 및 조회·제공 동의서 - 주민등록등본, 가족관계증명서 각 1부 - 신청 근로자 명의 통장사본 1부 - 2019년도 근로소득원천징수영수증(근로자, 배우자) 각 1부 - 대학교 직전학년 성적증명서 (신입생 제외) * 자세한 사항은 첨부파일 참고 * 접수처 : 창원시 경제기업사랑과 또는 거주지 관할 읍/면/동 주민센터 * 자세한 사항은 첨부자료 참고"
642,경상남도 창원시청,이주민자녀학비지원,지자체,장학금,지역연고, - 055-225-6770,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 1학기분의 등록금 지급, - 자녀가 대학교(전문대학 포함)에 재학중인 자, - 창원국가산업단지 도시개발사업으로 주거용 건축물이 편입되어 보상금을 수령한 이주민의 자녀, - 2018-03-05 ~ 2018-03-16  (연중 신청 가능),,," - 세대당 1회에 한하여 지급 - 이주민으로서 학비신청일 현재 창원시 미거주자 - 대학원생, 휴학생, 졸업생",,*창원시 도시개발사업소 신도시조성과로 직접 방문 혹은 등기우편 신청 - 신분증 - 재학증명서 등
643,경상남도 거제시청,거제시장학생,지자체,장학금,지역연고, - 거제시청 교육체육과 교육지원담당 055) 639-3854,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," * 대학 입학 우수 장학생 - 수학능력시험, 고등학교 생활기록부 등을 함께 고려 * 대학 우수 장학생 - 직전학년 평균 성적이 4.5 만점에 3.5점 이상인 학생",," - 2.000.000원 * 등록금 및 교재교육비, 숙식비, 교통비 등 생활비성격 장학금", * 대학 입학 우수 장학생 : 거제시 관내 고등학교 졸업예정자 또는 이와 동등한 자격을 가지고 대학교(전문대 포함)에 입학하는 학생 * 대학 우수 장학생 : 시 관내 중학교 또는 고등학교를 졸업한 학생 또는 이와 동등한 자격을 가지고 대학교(전문대 포함)에 재학 중인 학생, - 거제시에 주민등록이 되어 있는 자 (학업을 목적으로 주소를 옮겼을 때에는 시 출신으로 인정), - 2020-01-23 ~ 2020-02-14," - 성적, 소유재산, 거제시 거주기간, 자녀 수 등을 고려", - 입학 우수 : 25명 - 우수 장학 : 23명," - 대학 졸업예정자 및 계절학기 수강자 제외 - 정부, 공공기관, 민간장학재단, 기업, 대학, 부모의 직장 등으로부터 해당 학기 무상으로 지원받는 학자금(장학금 포함)이 해당 학기 등록금의 100분의 60을 초과하여 지원 받은 사실이 있거나 지원이 확정된 경우", - 금년도 입학생 : 고등학교장 추천," - 거제시 장학생 추천서(대학 우수 장학생) - 중학교 또는 고등학교 졸업증명서 - 대학교 재학 증명서 - 직전학년 대학 평균 성적 증명서(4.5 환산) - 등록금 납부 영수증 사본 - 학생 본인 기준 주민등록초본 - 가족관계증명서(부 또는 모 기준) - 건강보험 자격득실확인서 - 개인정보 수집 및 이용 동의서(일부 서류 양식은 거제시청 홈페이지에서 다운 받을 것!)* 대학 입학 우수 장학생의 경우 해당 고등학교장이 추천하므로 해당 학교로 문의 할것*재학생의 경우 주소지 면사무소, 동 주민센터 접수(본인 또는 가족)"
644,경상남도 고성군청,저소득주민자녀장학금,지자체,장학금,지역연고," - 해당 읍,면사무소","4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 4.5점 만점에 3.0이상," - 국민기초생활보장 수급자 자녀, 차상위계층 자녀 및 가정형편이 어려운 학생 - 천재지변이나 각종 재해 등으로 인하여 생활이 어려운 저소득층 자녀"," - 1,000,000원",, - 경남 고성군 관내에 거주하는 저소득주민의 자녀, - 2020-02-11 ~ 2020-02-28,,,, - 읍면장의 추천,"*신청,접수장소 : 읍면사무소-추천서 2부(읍면장 및 총장 추천서 1부)-최근 1년 이내 성적증명서 "
645,재단법인 거창군장학회,근로자자녀장학금,지자체,장학금,지역연고, - 055-940-8812,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,"재산 기준액(토지, 주택, 건물 공시지가 등)", - 2000000원 / 연간," - 군내 주민등록을 둔 군내 기업체 근로자 중 제조업과 관광, 레저산업을 하는 사업체 및 승강기산업체 근로자의 자녀", - 추천마감일을 기준으로 2개월 이상 관내에 주민등록이 되어 있는 대학생, -2018-04-02~2018-04-23, , - 5명 이내," - 학교, 단체, 기업 또는 군의 다른 조례에 따라 장학금을 지급받은 학생(대학생 : 2백만원 한도)",,"1. 장학금 신청서2. 장학금 지급대상자 추천서(학교) 3. 장학금 지급대상자 추천서(회사) 4. 개인정보이용 동의서5. 근로자 재직증명서 1부6. 재학증명서 1부, 7. 전(前)학년 성적증명서8. 주민등록등본 1부,9. 근로소득원천징수영수증(근로자 본인)※ 거창군청 기업지원과에 근로자 또는 근로자의 가족이 방문 접수"
646,김해시청,공항소음 대책 지역 장학금,지자체,장학금,지역연고, - 김해시청 대중교통과 055-330-2473,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",," - 학생가장, 조손가정, 다문화가정, 북한이탈가정, 한부모가정, 위탁가정, 위탁보호시설 출신 가산점 - 차상위계층, 장애인 등록자, 기초생활수급자 가산점"," - 인당 500,000원", - 2018. 5. 18. 이전부터 공항소음 대책지역 및 인근지역에 거주(주민등록상 거주)하는 주민 중 국내 대학 재학생 자녀, - 소음대책지역 또는 인근 거주자, - 2020-05-18 ~ 2020-05-29 18:00까지, - 배정표에 따라 고득점자 순 선발 * 배정표 홈페이지 공고 첨부파일 참고, - 40명, - 휴학생 선발 제외,," * 거주지역 주민센터로 접수, 자세한 사항은 홈페이지 내 공고 참조 - 장학금 지원신청서 - 자녀 재학증명서 - 개인정보 제공 동의서 - 가족관계 증명서"
647,경상남도청,근로자자녀장학금,지자체,장학금,지역연고, - 055) 211-3484 * 사업장 소재지 시/군 담당부서(접수처) (첨부파일 참고),4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", -  직전학년 학점평균 C 이상인 자,," - 대학생 연 2,000,000원 이내 (1년간 수업료 + 운영비 지급)", - 근로자의 자녀로서 대학생(신입생/편입생제외)," - 공고일 현재 도내에 주민등록이 되어 있고, 중소기업기본법상 중소기업에 해당하는 사업체에서 6개월 이상 근무하고 있는 근로자 및 실직근로자 포함 ", - 2020-03-04 ~ 2020-04-03,, - 대학생 70명, - 경남 근로자자녀 장학금 50%이상(고등학생50만원 대학생100만원)기 수혜자 - 신청년도에 다른 장학금 또는 학비감면액이 근로자 자녀장학금보다 많을 때 * 자세한 사항은 참고자료 확인, - 시장 또는 군수의 추천, - 근로자자녀 장학금 지급 신청서 - 근로자자녀 장학금 신청 확인서(학교) - 근로자 자녀 장학금 신청 확인서(소속기업) - 개인정보 이용 동의서  - 기타 증빙서류 (첨부파일 참고)
648,경상남도청,대학입학장학금,지자체,장학금,지역연고, - 경남도청 교육정책과 055) 211-3684~2,"4년제(5~6년제포함),전문대(2~3년제)",대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - '20학년도 수능 3과목(국·영·수) 중 2개과목 평균 3등급이내 성적 또는 고등학교 3-1학기(국·영·수·사/과) 중 3개과목 평균 3등급 이내인자,," - 2,000,000원", - ‘19년 서민자녀 교육지원사업(여민동락 교육복지카드) 지원 대상자중 성적요건을 충족하는 자, - 도내 고교학생으로 보호자는 공고일 현재 도내에 1년 이상 거주한 자, - 2020-03-16 ~ 2020-04-03," - 1차 심사 : 장학회 이사, 외부 전문가 등으로 위원회를 구성하여 심사선발 - 2차 심사 : 신청자 중 생활정도, 성적, 대학, 학과 등을 종합적으로 고려하여 선발", - 250명,,, - 경상남도 대학입학생 장학금 신청서 - 개인(신용)정보 수집·이용 및 제공·조회 동의서 - 2020학년도 대학수학능력시험 성적통지표 또는 고등학교 3-1학기 성적증명서 - 대학 재학증명서 - 자기소개서 - 학생 명의 통장 사본* 해당자 서류 - 보호자 확인서 (학생의 보호자가 직계존속이 아닌경우에 한함) * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고 
649,경상남도청,대학생학자금대출이자지원사업,지자체,학자금,지역연고, - 경상남도 교육지원담당관실 대학지원 담당 055-211-3684,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",, - 소득분위 8분위 이하 또는 다자녀(3명이상) 가구의 대학생, - 2019년도 발생한 이자 지원," - 한국장학재단의 취업후상환학자금대출, 일반상환학자금대출을 받은 자", - 신청일 기준 경상남도에 주소지를 둔 소재대학재/휴학생 * 도내 28개 대학(2년제 포함) 재/휴학생에 한함, - 2019-09-23 ~ 2019-10-18, - 예산의 범위 내에서 저소득 순위로 선발,," - 대학원생 및 퇴학자 등 제외 - 장학재단의 지원대상 확정 전 완제자는 제외, 타지자체와 중복지원 불가",, - 경상남도 홈페이지 팝업알리미에서 해당 팝업 클릭하여 접속
